ProductID	Price
0		$7
1		$13
2		$11
3		$10
4		$20
5		$12
6		$1
7		$14
8		$7
9		$16
10		$10
11		$16
12		$3
13		$6
14		$9
15		$14
16		$9
17		$4
18		$19
19		$9
20		$16
21		$17
22		$3
23		$2
24		$2
25		$6
26		$18
27		$5
28		$14
29		$2
30		$15
31		$10
32		$3
33		$7
34		$17
35		$17
36		$14
37		$10
38		$1
39		$19
40		$8
41		$9
42		$11
43		$18
44		$14
45		$3
46		$6
47		$14
48		$14
49		$16
50		$8
51		$2
52		$11
53		$15
54		$5
55		$7
56		$10
57		$3
58		$11
59		$8
60		$11
61		$18
62		$6
63		$20
64		$19
65		$13
66		$2
67		$20
68		$12
69		$1
70		$6
71		$13
72		$7
73		$18
74		$5
75		$18
76		$6
77		$15
78		$16
79		$7
80		$14
81		$5
82		$14
83		$14
84		$16
85		$13
86		$20
87		$11
88		$17
89		$2
90		$6
91		$3
92		$16
93		$15
94		$20
95		$9
96		$20
97		$3
98		$14
99		$10
100		$2
101		$2
102		$6
103		$3
104		$3
105		$12
106		$15
107		$9
108		$17
109		$18
110		$15
111		$13
112		$20
113		$12
114		$10
115		$18
116		$1
117		$7
118		$18
119		$12
120		$7
121		$11
122		$3
123		$15
124		$16
125		$17
126		$12
127		$13
128		$16
129		$4
130		$14
131		$17
132		$5
133		$18
134		$17
135		$9
136		$8
137		$2
138		$17
139		$3
140		$12
141		$4
142		$2
143		$16
144		$8
145		$20
146		$14
147		$14
148		$3
149		$5
150		$17
151		$16
152		$4
153		$6
154		$3
155		$16
156		$20
157		$12
158		$16
159		$20
160		$8
161		$16
162		$5
163		$6
164		$16
165		$11
166		$17
167		$7
168		$10
169		$12
170		$7
171		$8
172		$17
173		$9
174		$6
175		$1
176		$10
177		$18
178		$17
179		$9
180		$4
181		$14
182		$10
183		$2
184		$16
185		$12
186		$5
187		$1
188		$16
189		$4
190		$14
191		$11
192		$5
193		$4
194		$7
195		$13
196		$4
197		$18
198		$8
199		$2
200		$10
201		$7
202		$18
203		$3
204		$12
205		$12
206		$19
207		$2
208		$10
209		$9
210		$8
211		$4
212		$20
213		$16
214		$5
215		$6
216		$19
217		$5
218		$9
219		$7
220		$11
221		$16
222		$15
223		$9
224		$17
225		$7
226		$12
227		$9
228		$9
229		$7
230		$8
231		$20
232		$6
233		$14
234		$1
235		$20
236		$12
237		$15
238		$17
239		$17
240		$20
241		$13
242		$17
243		$6
244		$10
245		$9
246		$17
247		$8
248		$1
249		$16
250		$12
251		$6
252		$1
253		$10
254		$14
255		$5
256		$6
257		$6
258		$13
259		$7
260		$18
261		$2
262		$19
263		$11
264		$19
265		$17
266		$4
267		$5
268		$2
269		$20
270		$15
271		$13
272		$4
273		$11
274		$18
275		$9
276		$11
277		$7
278		$20
279		$8
280		$6
281		$9
282		$13
283		$13
284		$3
285		$12
286		$5
287		$1
288		$2
289		$11
290		$13
291		$10
292		$19
293		$11
294		$5
295		$18
296		$5
297		$1
298		$11
299		$12
300		$2
301		$1
302		$7
303		$18
304		$18
305		$2
306		$2
307		$10
308		$7
309		$12
310		$12
311		$11
312		$15
313		$8
314		$20
315		$1
316		$1
317		$20
318		$10
319		$8
320		$11
321		$9
322		$4
323		$11
324		$9
325		$5
326		$20
327		$1
328		$8
329		$9
330		$7
331		$14
332		$14
333		$8
334		$19
335		$12
336		$18
337		$11
338		$14
339		$12
340		$12
341		$17
342		$14
343		$7
344		$10
345		$2
346		$9
347		$9
348		$6
349		$16
350		$10
351		$19
352		$8
353		$6
354		$15
355		$18
356		$4
357		$18
358		$10
359		$12
360		$16
361		$6
362		$15
363		$6
364		$13
365		$10
366		$12
367		$7
368		$4
369		$4
370		$4
371		$1
372		$1
373		$6
374		$5
375		$18
376		$12
377		$19
378		$13
379		$10
380		$11
381		$9
382		$5
383		$8
384		$4
385		$10
386		$5
387		$19
388		$3
389		$12
390		$4
391		$16
392		$14
393		$19
394		$4
395		$5
396		$13
397		$11
398		$17
399		$12
400		$16
401		$8
402		$3
403		$2
404		$12
405		$19
406		$7
407		$15
408		$1
409		$6
410		$15
411		$16
412		$15
413		$11
414		$6
415		$1
416		$17
417		$1
418		$6
419		$1
420		$3
421		$13
422		$18
423		$7
424		$12
425		$13
426		$20
427		$3
428		$2
429		$11
430		$16
431		$2
432		$10
433		$5
434		$19
435		$18
436		$5
437		$4
438		$6
439		$14
440		$6
441		$15
442		$7
443		$15
444		$7
445		$2
446		$14
447		$1
448		$6
449		$12
450		$7
451		$1
452		$19
453		$15
454		$8
455		$19
456		$3
457		$15
458		$9
459		$3
460		$1
461		$6
462		$7
463		$16
464		$11
465		$19
466		$13
467		$6
468		$9
469		$13
470		$19
471		$15
472		$13
473		$3
474		$6
475		$10
476		$14
477		$10
478		$18
479		$19
480		$10
481		$3
482		$14
483		$18
484		$20
485		$15
486		$9
487		$6
488		$8
489		$5
490		$14
491		$2
492		$2
493		$12
494		$19
495		$8
496		$17
497		$18
498		$16
499		$14
500		$16
501		$13
502		$6
503		$15
504		$19
505		$9
506		$15
507		$18
508		$9
509		$7
510		$7
511		$13
512		$7
513		$16
514		$17
515		$9
516		$5
517		$1
518		$14
519		$14
520		$1
521		$4
522		$16
523		$8
524		$20
525		$13
526		$8
527		$9
528		$1
529		$3
530		$16
531		$2
532		$17
533		$18
534		$15
535		$16
536		$9
537		$5
538		$10
539		$18
540		$7
541		$8
542		$20
543		$11
544		$16
545		$6
546		$12
547		$14
548		$3
549		$9
550		$15
551		$11
552		$3
553		$7
554		$5
555		$16
556		$19
557		$4
558		$17
559		$12
560		$19
561		$10
562		$1
563		$9
564		$8
565		$14
566		$13
567		$12
568		$9
569		$8
570		$15
571		$7
572		$13
573		$7
574		$4
575		$11
576		$1
577		$6
578		$13
579		$4
580		$13
581		$3
582		$16
583		$7
584		$7
585		$19
586		$15
587		$19
588		$4
589		$11
590		$4
591		$3
592		$16
593		$6
594		$4
595		$11
596		$15
597		$3
598		$13
599		$6
600		$5
601		$1
602		$19
603		$1
604		$10
605		$2
606		$14
607		$15
608		$17
609		$14
610		$14
611		$4
612		$20
613		$7
614		$5
615		$11
616		$19
617		$11
618		$14
619		$4
620		$11
621		$8
622		$3
623		$4
624		$2
625		$11
626		$16
627		$2
628		$7
629		$15
630		$11
631		$6
632		$7
633		$1
634		$9
635		$11
636		$15
637		$15
638		$15
639		$9
640		$18
641		$2
642		$10
643		$10
644		$20
645		$13
646		$9
647		$12
648		$9
649		$7
650		$16
651		$9
652		$15
653		$1
654		$7
655		$6
656		$19
657		$13
658		$17
659		$16
660		$18
661		$11
662		$3
663		$8
664		$1
665		$11
666		$13
667		$19
668		$8
669		$20
670		$11
671		$7
672		$19
673		$5
674		$18
675		$2
676		$20
677		$13
678		$9
679		$13
680		$19
681		$16
682		$19
683		$16
684		$13
685		$16
686		$15
687		$4
688		$5
689		$17
690		$8
691		$14
692		$16
693		$19
694		$20
695		$20
696		$5
697		$8
698		$11
699		$18
700		$12
701		$2
702		$9
703		$20
704		$8
705		$15
706		$12
707		$15
708		$12
709		$10
710		$17
711		$18
712		$11
713		$9
714		$18
715		$17
716		$4
717		$2
718		$17
719		$1
720		$17
721		$15
722		$12
723		$3
724		$12
725		$3
726		$20
727		$11
728		$13
729		$15
730		$8
731		$11
732		$7
733		$5
734		$19
735		$8
736		$17
737		$16
738		$14
739		$13
740		$1
741		$10
742		$9
743		$11
744		$12
745		$15
746		$10
747		$1
748		$1
749		$19
750		$11
751		$2
752		$8
753		$10
754		$17
755		$8
756		$19
757		$15
758		$13
759		$19
760		$4
761		$12
762		$11
763		$12
764		$2
765		$17
766		$11
767		$4
768		$18
769		$9
770		$12
771		$18
772		$3
773		$7
774		$20
775		$16
776		$9
777		$1
778		$9
779		$8
780		$3
781		$11
782		$10
783		$20
784		$20
785		$14
786		$15
787		$17
788		$16
789		$7
790		$8
791		$6
792		$13
793		$12
794		$9
795		$6
796		$1
797		$2
798		$6
799		$14
800		$19
801		$10
802		$20
803		$20
804		$9
805		$10
806		$11
807		$13
808		$12
809		$15
810		$13
811		$10
812		$3
813		$18
814		$2
815		$8
816		$7
817		$12
818		$3
819		$1
820		$20
821		$7
822		$12
823		$19
824		$10
825		$2
826		$20
827		$16
828		$3
829		$20
830		$19
831		$4
832		$12
833		$14
834		$8
835		$3
836		$11
837		$7
838		$10
839		$3
840		$12
841		$2
842		$10
843		$10
844		$4
845		$20
846		$18
847		$20
848		$20
849		$7
850		$4
851		$1
852		$11
853		$14
854		$15
855		$6
856		$2
857		$18
858		$6
859		$11
860		$16
861		$11
862		$20
863		$4
864		$1
865		$9
866		$11
867		$5
868		$15
869		$10
870		$5
871		$16
872		$20
873		$5
874		$14
875		$9
876		$3
877		$16
878		$8
879		$14
880		$2
881		$19
882		$6
883		$1
884		$12
885		$14
886		$11
887		$12
888		$20
889		$9
890		$10
891		$3
892		$2
893		$7
894		$7
895		$4
896		$2
897		$12
898		$1
899		$8
900		$18
901		$11
902		$8
903		$6
904		$6
905		$9
906		$3
907		$10
908		$16
909		$8
910		$6
911		$17
912		$15
913		$13
914		$6
915		$8
916		$19
917		$13
918		$13
919		$19
920		$10
921		$19
922		$1
923		$11
924		$6
925		$11
926		$9
927		$19
928		$8
929		$10
930		$11
931		$8
932		$18
933		$2
934		$14
935		$8
936		$17
937		$1
938		$20
939		$11
940		$14
941		$11
942		$9
943		$9
944		$13
945		$20
946		$10
947		$15
948		$5
949		$1
950		$4
951		$17
952		$3
953		$18
954		$6
955		$20
956		$19
957		$5
958		$14
959		$14
960		$5
961		$15
962		$16
963		$15
964		$11
965		$7
966		$20
967		$6
968		$13
969		$1
970		$10
971		$13
972		$5
973		$4
974		$13
975		$19
976		$2
977		$1
978		$5
979		$10
980		$17
981		$8
982		$18
983		$4
984		$3
985		$4
986		$5
987		$10
988		$6
989		$7
990		$10
991		$15
992		$14
993		$4
994		$12
995		$3
996		$4
997		$6
998		$18
999		$5
1000		$2
